matlab_mouse_index,python_index,session_file,session_id,lag,block_a_pv_correlation,block_b_pv_correlation,mean_block_pv_correlation
29,28,session_767871931.mat,767871931,1,0.6152905270030982,0.6980992333832293,0.6566948801931638
29,28,session_767871931.mat,767871931,2,0.5963610383417522,0.6744261334775191,0.6353935859096357
29,28,session_767871931.mat,767871931,3,0.5638438954624582,0.6574498638539403,0.6106468796581992
29,28,session_767871931.mat,767871931,4,0.5683595273090332,0.6510379149660628,0.609698721137548
29,28,session_767871931.mat,767871931,5,0.5719470210013635,0.6550939771195625,0.613520499060463
29,28,session_767871931.mat,767871931,6,0.5879879080404242,0.6516806715120048,0.6198342897762146
29,28,session_767871931.mat,767871931,7,0.5852252584160674,0.6514267069784779,0.6183259826972727
29,28,session_767871931.mat,767871931,8,0.5938887238180068,0.6752658998131484,0.6345773118155776
29,28,session_767871931.mat,767871931,9,0.584827092450177,0.6879356489258251,0.636381370688001
29,28,session_767871931.mat,767871931,10,0.5796383194104452,0.6664354189522438,0.6230368691813445
29,28,session_767871931.mat,767871931,11,0.5735908637309719,0.6627083580595169,0.6181496108952445
29,28,session_767871931.mat,767871931,12,0.5786471001874757,0.6443426891967259,0.6114948946921008
29,28,session_767871931.mat,767871931,13,0.5655680086673391,0.6516186888665318,0.6085933487669355
29,28,session_767871931.mat,767871931,14,0.5886629180739744,0.6384640945848192,0.6135635063293968
29,28,session_767871931.mat,767871931,15,0.5928671652156798,0.6463974006156558,0.6196322829156677
29,28,session_767871931.mat,767871931,16,0.5740995593183988,0.6563170168783424,0.6152082880983707
29,28,session_767871931.mat,767871931,17,0.5851562481743126,0.6864319562243574,0.635794102199335
29,28,session_767871931.mat,767871931,18,0.5860832919771898,0.6926341054913636,0.6393586987342768
29,28,session_767871931.mat,767871931,19,0.5833377328410394,0.708972207329134,0.6461549700850867
29,28,session_767871931.mat,767871931,20,0.5935597461748762,0.6944942698446062,0.6440270080097412
29,28,session_767871931.mat,767871931,21,0.5807571505240687,0.6580324725775732,0.619394811550821
29,28,session_767871931.mat,767871931,22,0.5745677019045423,0.6466489604055854,0.6106083311550639
29,28,session_767871931.mat,767871931,23,0.5510412001423114,0.6326519221117088,0.5918465611270101
29,28,session_767871931.mat,767871931,24,0.5186802545408083,0.6401030239100974,0.5793916392254529
29,28,session_767871931.mat,767871931,25,0.5401543805308574,0.6249928709699709,0.5825736257504142
29,28,session_767871931.mat,767871931,26,0.5532870758580134,0.6468878745651386,0.600087475211576
29,28,session_767871931.mat,767871931,27,0.5532354119522952,0.6543555231099143,0.6037954675311048
29,28,session_767871931.mat,767871931,28,0.59954482248939,0.67250583807303,0.63602533028121
29,28,session_767871931.mat,767871931,29,0.5985612728734305,0.6351278719529841,0.6168445724132073
31,30,session_771160300.mat,771160300,1,0.7638924689691321,0.8240145589829507,0.7939535139760414
31,30,session_771160300.mat,771160300,2,0.7536061203709332,0.8004441111468111,0.7770251157588721
31,30,session_771160300.mat,771160300,3,0.7632667738037193,0.7868248644318876,0.7750458191178035
31,30,session_771160300.mat,771160300,4,0.7566140545127903,0.7870121921341298,0.77181312332346
31,30,session_771160300.mat,771160300,5,0.7525617516175817,0.7903451546498863,0.771453453133734
31,30,session_771160300.mat,771160300,6,0.7643879202679494,0.7961895888744205,0.780288754571185
31,30,session_771160300.mat,771160300,7,0.7483397832114477,0.8095886127476273,0.7789641979795374
31,30,session_771160300.mat,771160300,8,0.7523157043052666,0.8182951967677057,0.7853054505364861
31,30,session_771160300.mat,771160300,9,0.7668918631566499,0.8049307332491116,0.7859112982028807
31,30,session_771160300.mat,771160300,10,0.7549209283782237,0.7868588930729705,0.7708899107255971
31,30,session_771160300.mat,771160300,11,0.7331064942660738,0.7879754214037825,0.7605409578349281
31,30,session_771160300.mat,771160300,12,0.7466483122005091,0.7778462131364283,0.7622472626684687
31,30,session_771160300.mat,771160300,13,0.7524605155278246,0.7783729671911505,0.7654167413594875
31,30,session_771160300.mat,771160300,14,0.7428960135440636,0.7794939357688981,0.7611949746564809
31,30,session_771160300.mat,771160300,15,0.7359814487534015,0.8032873602990641,0.7696344045262329
31,30,session_771160300.mat,771160300,16,0.7322229004255327,0.8190716316076081,0.7756472660165704
31,30,session_771160300.mat,771160300,17,0.7342626791504631,0.8197040260031389,0.776983352576801
31,30,session_771160300.mat,771160300,18,0.763503639721022,0.8028363044923682,0.7831699721066951
31,30,session_771160300.mat,771160300,19,0.7377042176324138,0.7909928675919091,0.7643485426121615
31,30,session_771160300.mat,771160300,20,0.7213461482172703,0.7847614818139977,0.7530538150156341
31,30,session_771160300.mat,771160300,21,0.736037057114922,0.7895417154230413,0.7627893862689816
31,30,session_771160300.mat,771160300,22,0.7313113454879911,0.7957882178924178,0.7635497816902045
31,30,session_771160300.mat,771160300,23,0.7244802672481122,0.8198530013988908,0.7721666343235015
31,30,session_771160300.mat,771160300,24,0.7008012174893814,0.8300281819928347,0.765414699741108
31,30,session_771160300.mat,771160300,25,0.7128515568045862,0.7990589552789985,0.7559552560417924
31,30,session_771160300.mat,771160300,26,0.7242125824337267,0.7708106581716443,0.7475116203026855
31,30,session_771160300.mat,771160300,27,0.709952222712659,0.754841274937518,0.7323967488250884
31,30,session_771160300.mat,771160300,28,0.6796239822003785,0.7535108244992237,0.7165674033498011
31,30,session_771160300.mat,771160300,29,0.6981585381912168,0.7315635449113327,0.7148610415512747
32,31,session_771990200.mat,771990200,1,0.8541544447180259,0.9054169440515671,0.8797856943847966
32,31,session_771990200.mat,771990200,2,0.8500924831761816,0.899168840810466,0.8746306619933237
32,31,session_771990200.mat,771990200,3,0.8415791834226667,0.8908671721396421,0.8662231777811544
32,31,session_771990200.mat,771990200,4,0.8368661363078524,0.894119427928763,0.8654927821183077
32,31,session_771990200.mat,771990200,5,0.8372827134645203,0.8918986600508769,0.8645906867576987
32,31,session_771990200.mat,771990200,6,0.8307817880163494,0.8913540850453344,0.8610679365308419
32,31,session_771990200.mat,771990200,7,0.8255725534452347,0.8864475677977964,0.8560100606215155
32,31,session_771990200.mat,771990200,8,0.8266653227858114,0.8849239254075382,0.8557946240966747
32,31,session_771990200.mat,771990200,9,0.8244715782531109,0.8840265135190655,0.8542490458860882
32,31,session_771990200.mat,771990200,10,0.8238990121454867,0.8829885546471623,0.8534437833963244
32,31,session_771990200.mat,771990200,11,0.8220383425669598,0.8781032886311142,0.8500708155990371
32,31,session_771990200.mat,771990200,12,0.819549831437283,0.8729822040666262,0.8462660177519545
32,31,session_771990200.mat,771990200,13,0.8185300975630982,0.8680639367879674,0.8432970171755328
32,31,session_771990200.mat,771990200,14,0.8162299033604941,0.8648784182892386,0.8405541608248663
32,31,session_771990200.mat,771990200,15,0.8136781298162994,0.8631182343135134,0.8383981820649065
32,31,session_771990200.mat,771990200,16,0.8222297654616801,0.8598804725553356,0.8410551190085078
32,31,session_771990200.mat,771990200,17,0.8157097156783328,0.8560829109027773,0.835896313290555
32,31,session_771990200.mat,771990200,18,0.8238776989208567,0.851968849471179,0.8379232741960179
32,31,session_771990200.mat,771990200,19,0.818273894457542,0.8478621924948204,0.8330680434761812
32,31,session_771990200.mat,771990200,20,0.8184799997352703,0.8446343242375614,0.8315571619864158
32,31,session_771990200.mat,771990200,21,0.8131590370948283,0.8380491339161467,0.8256040855054875
32,31,session_771990200.mat,771990200,22,0.8043634509953174,0.8345800543995616,0.8194717526974395
32,31,session_771990200.mat,771990200,23,0.797984375859515,0.8263800168667855,0.8121821963631503
32,31,session_771990200.mat,771990200,24,0.7830851265645765,0.8208044309883501,0.8019447787764633
32,31,session_771990200.mat,771990200,25,0.7639276899217349,0.8245219776597226,0.7942248337907287
32,31,session_771990200.mat,771990200,26,0.7680449599011964,0.8309891468194059,0.7995170533603011
32,31,session_771990200.mat,771990200,27,0.7705910646780946,0.8362402985313606,0.8034156816047275
32,31,session_771990200.mat,771990200,28,0.7817929439410747,0.8243913894852501,0.8030921667131624
32,31,session_771990200.mat,771990200,29,0.8000050839484457,0.810496787642432,0.8052509357954389
35,34,session_778240327.mat,778240327,1,0.770404539322696,0.7735597690322502,0.7719821541774732
35,34,session_778240327.mat,778240327,2,0.7612403790283758,0.7711243578256407,0.7661823684270083
35,34,session_778240327.mat,778240327,3,0.7582759282862811,0.7613063044765531,0.759791116381417
35,34,session_778240327.mat,778240327,4,0.7469701699219462,0.757017889049145,0.7519940294855456
35,34,session_778240327.mat,778240327,5,0.7585783491010278,0.7639758439491182,0.761277096525073
35,34,session_778240327.mat,778240327,6,0.7587162057968474,0.7466784321549782,0.7526973189759127
35,34,session_778240327.mat,778240327,7,0.7516988595409118,0.7527570863929117,0.7522279729669117
35,34,session_778240327.mat,778240327,8,0.7456480886887887,0.7523011206914749,0.7489746046901318
