filename,session_id,n_units_pm,lag,blockA_mean,blockB_mean,mouse_mean,blockA_n_pairs,blockB_n_pairs
session_767871931.mat,767871931,64,1,0.9220267267226884,0.9542072905351474,0.9381170086289179,29,29
session_767871931.mat,767871931,64,2,0.8967822760804879,0.9223351962612216,0.9095587361708548,28,28
session_767871931.mat,767871931,64,3,0.8690457058149427,0.9053901105752891,0.8872179081951159,27,27
session_767871931.mat,767871931,64,4,0.8653616159354829,0.9000318791569124,0.8826967475461976,26,26
session_767871931.mat,767871931,64,5,0.8766367017670466,0.8989695705738606,0.8878031361704536,25,25
session_767871931.mat,767871931,64,6,0.9021932712149034,0.9014071397212131,0.9018002054680583,24,24
session_767871931.mat,767871931,64,7,0.8977055891962802,0.9091828413329699,0.903444215264625,23,23
session_767871931.mat,767871931,64,8,0.8970301675464163,0.9243712976204026,0.9107007325834094,22,22
session_767871931.mat,767871931,64,9,0.8843248183526088,0.935563601631771,0.90994420999219,21,21
session_767871931.mat,767871931,64,10,0.8876378440235626,0.9293011380614684,0.9084694910425155,20,20
session_767871931.mat,767871931,64,11,0.8700514998941346,0.9146178647430905,0.8923346823186125,19,19
session_767871931.mat,767871931,64,12,0.8751764733855485,0.8994848576370637,0.887330665511306,18,18
session_767871931.mat,767871931,64,13,0.8628224242381928,0.9028095085977186,0.8828159664179557,17,17
session_767871931.mat,767871931,64,14,0.8832906216076178,0.8957839216011789,0.8895372716043983,16,16
session_767871931.mat,767871931,64,15,0.8742795945143648,0.8903858739820251,0.8823327342481949,15,15
session_767871931.mat,767871931,64,16,0.8671746855300027,0.9064409654133649,0.8868078254716838,14,14
session_767871931.mat,767871931,64,17,0.8689974019582997,0.9252697512137927,0.8971335765860462,13,13
session_767871931.mat,767871931,64,18,0.8769795332945391,0.9403176703796802,0.9086486018371096,12,12
session_767871931.mat,767871931,64,19,0.884985604552637,0.9441997411133065,0.9145926728329717,11,11
session_767871931.mat,767871931,64,20,0.8882723246468837,0.9236679282009733,0.9059701264239285,10,10
session_767871931.mat,767871931,64,21,0.8582011916905741,0.9077142254275807,0.8829577085590774,9,9
session_767871931.mat,767871931,64,22,0.8538302463496187,0.9083742841139459,0.8811022652317824,8,8
session_767871931.mat,767871931,64,23,0.8231580809518536,0.8950352507662098,0.8590966658590318,7,7
session_767871931.mat,767871931,64,24,0.8078240803613226,0.8831207839582657,0.8454724321597942,6,6
session_767871931.mat,767871931,64,25,0.8379747615124551,0.8855653251540467,0.8617700433332509,5,5
session_767871931.mat,767871931,64,26,0.8408540955135864,0.9029576244093747,0.8719058599614805,4,4
session_767871931.mat,767871931,64,27,0.8196695239198722,0.9008399209355148,0.8602547224276935,3,3
session_767871931.mat,767871931,64,28,0.8563700477897418,0.8883942989635598,0.8723821733766508,2,2
session_767871931.mat,767871931,64,29,0.8602349098061147,0.9004054983354784,0.8803202040707966,1,1
session_771160300.mat,771160300,58,1,0.9558833292423238,0.9765284162318677,0.9662058727370957,29,29
session_771160300.mat,771160300,58,2,0.9421894792645655,0.9579293205787689,0.9500593999216672,28,28
session_771160300.mat,771160300,58,3,0.9474940820826471,0.9497882550278698,0.9486411685552585,27,27
session_771160300.mat,771160300,58,4,0.9431233112474816,0.9475117602978494,0.9453175357726655,26,26
session_771160300.mat,771160300,58,5,0.9421986626456573,0.951110414525388,0.9466545385855227,25,25
session_771160300.mat,771160300,58,6,0.9472353634139061,0.9574409145793091,0.9523381389966077,24,24
session_771160300.mat,771160300,58,7,0.9382246124351333,0.9674318973211283,0.9528282548781308,23,23
session_771160300.mat,771160300,58,8,0.9413655314694389,0.9712688031220289,0.9563171672957339,22,22
session_771160300.mat,771160300,58,9,0.9508440546463142,0.9620451911001492,0.9564446228732317,21,21
session_771160300.mat,771160300,58,10,0.9375365738406429,0.9522165262336788,0.9448765500371609,20,20
session_771160300.mat,771160300,58,11,0.9281310082186841,0.9470848313661477,0.9376079197924159,19,19
session_771160300.mat,771160300,58,12,0.9354666884447806,0.9448758299138552,0.9401712591793179,18,18
session_771160300.mat,771160300,58,13,0.9387562274638603,0.9431102182257985,0.9409332228448295,17,17
session_771160300.mat,771160300,58,14,0.933259077839269,0.9449211564802958,0.9390901171597824,16,16
session_771160300.mat,771160300,58,15,0.9301231445044841,0.9601367769254956,0.9451299607149899,15,15
session_771160300.mat,771160300,58,16,0.9331044097039956,0.9718439073755291,0.9524741585397623,14,14
session_771160300.mat,771160300,58,17,0.930059313532644,0.9683773631289608,0.9492183383308024,13,13
session_771160300.mat,771160300,58,18,0.9452877201100395,0.9573456192505612,0.9513166696803004,12,12
session_771160300.mat,771160300,58,19,0.9340101206579935,0.9461465746652642,0.9400783476616288,11,11
session_771160300.mat,771160300,58,20,0.9166917945777111,0.9423314552526738,0.9295116249151925,10,10
session_771160300.mat,771160300,58,21,0.9308207863602268,0.9449048018858179,0.9378627941230224,9,9
session_771160300.mat,771160300,58,22,0.9291288368883415,0.9489379423227093,0.9390333896055254,8,8
session_771160300.mat,771160300,58,23,0.922645389905829,0.9630000500398374,0.9428227199728332,7,7
session_771160300.mat,771160300,58,24,0.9137227913021517,0.9724214762890785,0.9430721337956152,6,6
session_771160300.mat,771160300,58,25,0.9223835089378003,0.953125985429403,0.9377547471836016,5,5
session_771160300.mat,771160300,58,26,0.9160735839875521,0.9263944893289507,0.9212340366582514,4,4
session_771160300.mat,771160300,58,27,0.9125092148650622,0.9158115529223779,0.91416038389372,3,3
session_771160300.mat,771160300,58,28,0.8968693701170687,0.9158266925469226,0.9063480313319956,2,2
session_771160300.mat,771160300,58,29,0.8883179860304107,0.9031375509813991,0.8957277685059049,1,1
session_771990200.mat,771990200,37,1,0.9880887777253125,0.9920289220442463,0.9900588498847793,29,29
session_771990200.mat,771990200,37,2,0.9832134874695807,0.9893783865392519,0.9862959370044163,28,28
session_771990200.mat,771990200,37,3,0.979067883034709,0.986992667409482,0.9830302752220955,27,27
session_771990200.mat,771990200,37,4,0.9746751319724359,0.9871141038297216,0.9808946179010788,26,26
session_771990200.mat,771990200,37,5,0.9719396544937902,0.9862035183098815,0.9790715864018358,25,25
session_771990200.mat,771990200,37,6,0.9689625113950995,0.9854198323863234,0.9771911718907114,24,24
session_771990200.mat,771990200,37,7,0.9661391060982357,0.9836330239592407,0.9748860650287382,23,23
session_771990200.mat,771990200,37,8,0.9636521969743927,0.9831831079002181,0.9734176524373055,22,22
session_771990200.mat,771990200,37,9,0.9616808714374192,0.982835551364376,0.9722582114008975,21,21
session_771990200.mat,771990200,37,10,0.961001781837758,0.9814406092694774,0.9712211955536176,20,20
session_771990200.mat,771990200,37,11,0.9585037168371147,0.9797474774176603,0.9691255971273876,19,19
session_771990200.mat,771990200,37,12,0.9564188999325169,0.9784006435783543,0.9674097717554356,18,18
session_771990200.mat,771990200,37,13,0.9543390882077452,0.9768164414967136,0.9655777648522295,17,17
session_771990200.mat,771990200,37,14,0.951990144043918,0.9756915603021187,0.9638408521730184,16,16
session_771990200.mat,771990200,37,15,0.9530608313708535,0.9748064477432465,0.96393363955705,15,15
session_771990200.mat,771990200,37,16,0.9561137742853708,0.9739305899591555,0.9650221821222631,14,14
session_771990200.mat,771990200,37,17,0.9575335045862006,0.9736817072226945,0.9656076059044476,13,13
session_771990200.mat,771990200,37,18,0.9548397741349192,0.9725225174777742,0.9636811458063467,12,12
session_771990200.mat,771990200,37,19,0.9524516858834752,0.9716896965154785,0.9620706911994769,11,11
session_771990200.mat,771990200,37,20,0.9515360705218269,0.9684584413141943,0.9599972559180106,10,10
session_771990200.mat,771990200,37,21,0.944649467659283,0.9681163730480681,0.9563829203536756,9,9
session_771990200.mat,771990200,37,22,0.9367979523941272,0.9659803589314103,0.9513891556627687,8,8
session_771990200.mat,771990200,37,23,0.9293516958960052,0.9649735660760786,0.9471626309860419,7,7
session_771990200.mat,771990200,37,24,0.9174366683690366,0.9623493135105204,0.9398929909397785,6,6
session_771990200.mat,771990200,37,25,0.910370212256125,0.9633773804393794,0.9368737963477523,5,5
session_771990200.mat,771990200,37,26,0.9055613959927072,0.9634689368852891,0.9345151664389981,4,4
session_771990200.mat,771990200,37,27,0.9080648970560596,0.9678848676454561,0.9379748823507579,3,3
session_771990200.mat,771990200,37,28,0.9191358882768561,0.9642107393263288,0.9416733138015925,2,2
session_771990200.mat,771990200,37,29,0.941317458944308,0.9684079731402715,0.9548627160422898,1,1
session_778240327.mat,778240327,68,1,0.9701714419072417,0.9670615140898293,0.9686164779985356,29,29
session_778240327.mat,778240327,68,2,0.9624120432243373,0.9628737944184543,0.9626429188213959,28,28
session_778240327.mat,778240327,68,3,0.9549526207144323,0.953431025183158,0.9541918229487951,27,27
session_778240327.mat,778240327,68,4,0.9526183335173248,0.9537936005693941,0.9532059670433595,26,26
session_778240327.mat,778240327,68,5,0.9597920432227027,0.9547756273553787,0.9572838352890407,25,25
session_778240327.mat,778240327,68,6,0.9569958805344146,0.9481652693092822,0.9525805749218484,24,24
session_778240327.mat,778240327,68,7,0.9521105699941306,0.946050942324569,0.9490807561593497,23,23
session_778240327.mat,778240327,68,8,0.947150213918542,0.946486320421451,0.9468182671699965,22,22
session_778240327.mat,778240327,68,9,0.945966151708584,0.9453281189398369,0.9456471353242104,21,21
session_778240327.mat,778240327,68,10,0.9516486440071799,0.9514048715602093,0.9515267577836946,20,20
session_778240327.mat,778240327,68,11,0.956167160269286,0.9505070591073003,0.9533371096882932,19,19
session_778240327.mat,778240327,68,12,0.9508985137023722,0.9478656077745844,0.9493820607384783,18,18
session_778240327.mat,778240327,68,13,0.9462951083413756,0.9508016701941069,0.9485483892677413,17,17
session_778240327.mat,778240327,68,14,0.9389354468800626,0.9487097913186673,0.9438226190993649,16,16
session_778240327.mat,778240327,68,15,0.9364821671350168,0.9602401465719945,0.9483611568535056,15,15
session_778240327.mat,778240327,68,16,0.9424227384594273,0.9499170359826955,0.9461698872210613,14,14
session_778240327.mat,778240327,68,17,0.9321681560747762,0.9488416124672601,0.9405048842710182,13,13
session_778240327.mat,778240327,68,18,0.9271478723032288,0.9437242403272372,0.9354360563152331,12,12
session_778240327.mat,778240327,68,19,0.916697698223738,0.9351518645290328,0.9259247813763853,11,11
session_778240327.mat,778240327,68,20,0.9162198787174207,0.9322783852692595,0.9242491319933401,10,10
session_778240327.mat,778240327,68,21,0.9296344257814955,0.9286865410847795,0.9291604834331375,9,9
session_778240327.mat,778240327,68,22,0.9346514096210953,0.9224155053365313,0.9285334574788133,8,8
session_778240327.mat,778240327,68,23,0.9286279187043733,0.925864415554978,0.9272461671296757,7,7
session_778240327.mat,778240327,68,24,0.9222040294085136,0.9357307131761373,0.9289673712923254,6,6
session_778240327.mat,778240327,68,25,0.910817896663708,0.9460432716835452,0.9284305841736267,5,5
session_778240327.mat,778240327,68,26,0.9216204224087733,0.9514226569157996,0.9365215396622865,4,4
session_778240327.mat,778240327,68,27,0.9333954779232233,0.9307840338802449,0.932089755901734,3,3
session_778240327.mat,778240327,68,28,0.9261511578293445,0.9055632628432619,0.9158572103363032,2,2
session_778240327.mat,778240327,68,29,0.9115217474510854,0.8942665841602923,0.9028941658056888,1,1
session_778998620.mat,778998620,45,1,0.9279898507483059,0.9715064268166562,0.9497481387824811,29,29
session_778998620.mat,778998620,45,2,0.9066309793748994,0.959093329062091,0.9328621542184952,28,28
session_778998620.mat,778998620,45,3,0.9253915643706628,0.9491133576425407,0.9372524610066018,27,27
session_778998620.mat,778998620,45,4,0.895386072933785,0.9442646784728108,0.9198253757032979,26,26
session_778998620.mat,778998620,45,5,0.8931982337592005,0.9433900983577658,0.9182941660584831,25,25
session_778998620.mat,778998620,45,6,0.9247183102771647,0.9423394103067352,0.9335288602919499,24,24
session_778998620.mat,778998620,45,7,0.9097926574811502,0.9448106501740294,0.9273016538275898,23,23
session_778998620.mat,778998620,45,8,0.921828385410858,0.9446919025937723,0.9332601440023152,22,22
session_778998620.mat,778998620,45,9,0.9433424533184297,0.9393916329675513,0.9413670431429906,21,21
session_778998620.mat,778998620,45,10,0.9357608733968587,0.9349658488388108,0.9353633611178347,20,20
session_778998620.mat,778998620,45,11,0.9077977351085627,0.929510291260012,0.9186540131842873,19,19
session_778998620.mat,778998620,45,12,0.8954052862902544,0.924845334650032,0.9101253104701432,18,18
session_778998620.mat,778998620,45,13,0.90350576486595,0.9216562527246968,0.9125810087953234,17,17
session_778998620.mat,778998620,45,14,0.8912420922690913,0.9171563205905595,0.9041992064298254,16,16
session_778998620.mat,778998620,45,15,0.8827774580146632,0.9172332616802467,0.9000053598474549,15,15
session_778998620.mat,778998620,45,16,0.921100414209233,0.9123245380005816,0.9167124761049072,14,14
session_778998620.mat,778998620,45,17,0.9000305909239456,0.9068690841564346,0.90344983754019,13,13
session_778998620.mat,778998620,45,18,0.8889776920619465,0.9001838272609616,0.8945807596614541,12,12
session_778998620.mat,778998620,45,19,0.9163435894158997,0.8942603219823905,0.9053019556991451,11,11
session_778998620.mat,778998620,45,20,0.890140079513368,0.8898077562533828,0.8899739178833754,10,10
session_778998620.mat,778998620,45,21,0.8565176270986339,0.8894526978237643,0.8729851624611991,9,9
session_778998620.mat,778998620,45,22,0.9053849769122841,0.9012182385512738,0.903301607731779,8,8
session_778998620.mat,778998620,45,23,0.9083351692188227,0.9054538282316017,0.9068944987252122,7,7
session_778998620.mat,778998620,45,24,0.8530313244185038,0.9000533567596882,0.876542340589096,6,6
session_778998620.mat,778998620,45,25,0.8914759240958883,0.8930338294599334,0.8922548767779108,5,5
session_778998620.mat,778998620,45,26,0.9013766240874789,0.8660213441957042,0.8836989841415915,4,4
session_778998620.mat,778998620,45,27,0.8544350079148936,0.8484890073116297,0.8514620076132616,3,3
session_778998620.mat,778998620,45,28,0.8762111240878057,0.8329325200023026,0.8545718220450541,2,2
session_778998620.mat,778998620,45,29,0.9021766947285051,0.7929266943712289,0.847551694549867,1,1
session_779839471.mat,779839471,84,1,0.9702173861623983,0.9535890667954757,0.961903226478937,29,29
session_779839471.mat,779839471,84,2,0.9614022679362623,0.9394441097337786,0.9504231888350204,28,28
session_779839471.mat,779839471,84,3,0.956770030295064,0.9468943491794287,0.9518321897372464,27,27
session_779839471.mat,779839471,84,4,0.9518826109844551,0.9541757852438503,0.9530291981141528,26,26
session_779839471.mat,779839471,84,5,0.9504176740618792,0.9415503721866445,0.9459840231242618,25,25
session_779839471.mat,779839471,84,6,0.9520913609871849,0.9374136591724619,0.9447525100798234,24,24
session_779839471.mat,779839471,84,7,0.9480731424053142,0.9400429715428714,0.9440580569740928,23,23
session_779839471.mat,779839471,84,8,0.9431831634564248,0.9437321288249904,0.9434576461407076,22,22
session_779839471.mat,779839471,84,9,0.9440624970963879,0.9370692788639607,0.9405658879801744,21,21
session_779839471.mat,779839471,84,10,0.9475349013681464,0.9346027425805433,0.9410688219743448,20,20
session_779839471.mat,779839471,84,11,0.9444969215389907,0.9324071771632186,0.9384520493511046,19,19
session_779839471.mat,779839471,84,12,0.9461356437071881,0.933612454576081,0.9398740491416345,18,18
session_779839471.mat,779839471,84,13,0.9491384810319289,0.9347436327035061,0.9419410568677176,17,17
session_779839471.mat,779839471,84,14,0.9491216798454446,0.9265820582248989,0.9378518690351718,16,16
session_779839471.mat,779839471,84,15,0.9434822414703758,0.9224146293081273,0.9329484353892517,15,15
session_779839471.mat,779839471,84,16,0.9386158711702405,0.9286889903628176,0.933652430766529,14,14
session_779839471.mat,779839471,84,17,0.9401723227205949,0.9292046119074798,0.9346884673140374,13,13
session_779839471.mat,779839471,84,18,0.9409442554220288,0.929148223069001,0.9350462392455149,12,12
session_779839471.mat,779839471,84,19,0.9447726227635904,0.9244014572315475,0.934587039997569,11,11
session_779839471.mat,779839471,84,20,0.9527373747412753,0.9208615868741805,0.9367994808077279,10,10
session_779839471.mat,779839471,84,21,0.9449598002412483,0.9262531787586167,0.9356064894999325,9,9
session_779839471.mat,779839471,84,22,0.9371484238805061,0.9224216990088285,0.9297850614446673,8,8
session_779839471.mat,779839471,84,23,0.9313013936418534,0.9061156218436525,0.9187085077427529,7,7
session_779839471.mat,779839471,84,24,0.9286982654202863,0.9244259721825964,0.9265621188014413,6,6
session_779839471.mat,779839471,84,25,0.9240630457906864,0.9251373657400908,0.9246002057653886,5,5
session_779839471.mat,779839471,84,26,0.9239975763617037,0.9148117965581163,0.9194046864599099,4,4
session_779839471.mat,779839471,84,27,0.932788418189375,0.8968491502127672,0.9148187842010711,3,3
session_779839471.mat,779839471,84,28,0.9260097510679214,0.914250408018475,0.9201300795431981,2,2
session_779839471.mat,779839471,84,29,0.9331197980148568,0.9540444654148237,0.9435821317148403,1,1
session_786091066.mat,786091066,65,1,0.9883419515353992,0.9917349254056177,0.9900384384705084,29,29
session_786091066.mat,786091066,65,2,0.9816678609482565,0.9897061010806382,0.9856869810144473,28,28
session_786091066.mat,786091066,65,3,0.9727654206602308,0.9890602469093898,0.9809128337848103,27,27
session_786091066.mat,786091066,65,4,0.9630947826123641,0.9873057750349793,0.9752002788236718,26,26
session_786091066.mat,786091066,65,5,0.9523445318128791,0.9863416845180544,0.9693431081654668,25,25
session_786091066.mat,786091066,65,6,0.9404195515913997,0.9858908162319852,0.9631551839116924,24,24
session_786091066.mat,786091066,65,7,0.9258598915267031,0.984794934484576,0.9553274130056395,23,23
session_786091066.mat,786091066,65,8,0.9104702706030211,0.9844977690401318,0.9474840198215764,22,22
session_786091066.mat,786091066,65,9,0.8960176267972229,0.9821642282493185,0.9390909275232706,21,21
session_786091066.mat,786091066,65,10,0.883037819295754,0.9818466221816081,0.9324422207386811,20,20
session_786091066.mat,786091066,65,11,0.8717635077401348,0.9815419353829241,0.9266527215615294,19,19
session_786091066.mat,786091066,65,12,0.858604783879674,0.9799400342545691,0.9192724090671216,18,18
